Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
-	R3C	CONV	SO2	3_end	648	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0.24	15	90.53	8.42	4.15	1.3	14	9.92	1.07	0.07	1.83	3.32	9.36E+05	4.96E+07	27	0.616868307	0.13	96	Rioja
-	R3C	ECO	Control	3_end	576	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0.36	0	94.75	8.84	1.35	1.33	10	9.69	0.97	0.15	1.55	3.29	1.11E+06	4.00E+07	24	0.526495289	0.14	96	Rioja
-	R3C	ECO	18C	3_end	960	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0.4	0	104.39	8.41	0.49	1.58	23	9.23	0.48	0.17	1.39	3.28	5.38E+05	8.00E+07	40	0.418142254	0.16	192	Rioja
-	R3C	ECO	NH4	3_end	504	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0.33	133	102.01	7.92	2.58	1.33	32	9.18	0.25	0.25	0.44	3.13	1.04E+04	1.20E+07	21	0.981370592	0.16	192	Rioja
-	R3C	ECO	SO2	3_end	504	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0.35	0	127.78	8.02	0.16	1.73	27	7.79	0.8	0.24	1.21	3.27	8.54E+05	1.60E+08	21	0.510951962	0.07	192	Rioja
-	RdG	CONV	Control	3_end	480	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	1.19	141	1.28	9.08	0.04	0.43	140	13.91	2.07	0	0.47	3.18	9.53E+07	2.28E+08	20	0.8681635	0.2	192	Ribera del Guadiana
-	RdG	CONV	18C	3_end	792	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0.68	183	26.61	8.67	0.01	1.09	91	12.39	2.23	0.06	0.7	3.22	NA	3.08E+08	33	0.378872853	0.11	72	Ribera del Guadiana
-	RdG	CONV	NH4	3_end	480	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0.97	233	1.06	8.72	0.01	0.45	190	13.88	1.69	0	0.26	3.37	1.41E+08	2.64E+08	20	0.945939873	0.17	192	Ribera del Guadiana
-	RdG	CONV	SO2	3_end	720	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0.86	139	0.42	8.37	0.01	0.42	110	13.78	1.84	0.05	0.45	3.21	1.71E+07	2.80E+08	30	1.315722372	0.15	290	Ribera del Guadiana
-	RdG	ECO	Control	3_end	528	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0.34	8	69.78	7.87	0.54	1.42	26	10.4	1.59	0.01	1.89	3.64	3.26E+08	3.56E+08	22	3.432846937	0.16	356	Ribera del Guadiana
-	RdG	ECO	18C	3_end	720	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0.24	10	59.98	7.94	1.45	1.59	23	11.31	1.39	0	2.06	3.71	8.12E+07	1.48E+08	30	0.537790373	0.11	72	Ribera del Guadiana
-	RdG	ECO	NH4	3_end	480	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0.41	222	64.37	7.31	1.85	1.67	68	10.71	1.37	0.05	0.71	3.74	8.00E+05	2.80E+08	20	1.169838511	0.17	72	Ribera del Guadiana
-	RdG	ECO	SO2	3_end	528	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	0.18	12	71.54	7.6	4.77	1.37	28	10.39	1.61	0.04	2.49	3.47	4.51E+06	4.80E+07	22	0.730083745	0.15	192	Ribera del Guadiana
-	VLP	CONV	Control	3_end	480	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0.7	24	0.02	8.92	0	1.75	34	11.59	1.48	0	1.74	3.51	2.34E+07	3.20E+07	20	0.986211099	0.22	48	Valdepeñas
-	VLP	CONV	18C	3_end	480	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0.14	18	0.19	8.11	0.01	2.19	21	12.3	1.7	0	1.75	3.54	3.00E+07	1.60E+08	20	0.438466427	0.2	192	Valdepeñas
-	VLP	CONV	NH4	3_end	480	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0.59	28	0.02	9.98	0.01	1.47	72	11.7	1.52	0.04	1.3	3.47	2.70E+07	3.60E+07	20	1.61839101	0.22	192	Valdepeñas
-	VLP	CONV	SO2	3_end	528	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	0.08	11	0.08	9.66	0.02	1.66	46	12.64	1.59	0.05	1.78	3.58	1.47E+08	2.40E+08	22	1.307732226	0.22	144	Valdepeñas
-	VLP	ECO	Control	3_end	480	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0.09	30	0.03	9.82	0.01	1.38	40	14.71	1.2	0.06	2.18	3.51	5.24E+07	8.40E+07	20	1.289877027	0.29	72	Valdepeñas
-	VLP	ECO	18C	3_end	480	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0.07	14	0.18	9.31	0.02	1.64	27	14.87	1.34	0	2.12	3.59	2.48E+07	1.20E+08	20	0.653838196	0.23	120	Valdepeñas
-	VLP	ECO	NH4	3_end	480	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0.18	26	0.04	9.99	0	0.74	108	14.32	0.96	0.12	1.36	3.47	3.25E+07	8.80E+07	20	1.481811102	0.27	72	Valdepeñas
-	VLP	ECO	SO2	3_end	528	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	0.12	16	0.13	9.73	0.04	1.22	50	14.01	1.39	0.03	1.74	3.59	1.13E+08	1.60E+08	22	1.446842029	0.28	144	Valdepeñas
