Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-87	R3B	ECO	18C	0_initial	0	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0	9	232.69	0	0	1.88	30	NA	NA	NA	NA	NA	1.22E+03	8.00E+07	47	0.307892091	0.06	144	Rioja
ITS-105	R3B	ECO	NH4	0_initial	0	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0	332	214.45	0	0	1.88	87	NA	NA	NA	NA	NA	9.00E+02	5.60E+07	19	0.991067896	0.15	48	Rioja
ITS-123	R3B	ECO	SO2	0_initial	0	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0	14	234.13	0	0	1.9	31	NA	NA	NA	NA	NA	7.60E+02	5.64E+07	39	0.505925251	0.07	408	Rioja
ITS-72	R3C	CONV	Control	0_initial	0	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0	9	244.82	0	0	1.69	41	NA	NA	NA	NA	NA	1.20E+04	4.00E+07	19	0.515942627	0.12	144	Rioja
ITS-90	R3C	CONV	18C	0_initial	0	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0	36	242.17	0	0	1.86	46	NA	NA	NA	NA	NA	1.20E+03	8.00E+07	47	0.585050646	0.08	144	Rioja
ITS-108	R3C	CONV	NH4	0_initial	0	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0	313	226.04	0	0	1.99	68	NA	NA	NA	NA	NA	3.00E+02	1.36E+08	21	0.750543569	0.13	72	Rioja
ITS-126	R3C	CONV	SO2	0_initial	0	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0	20	238.85	0	0	1.91	48	NA	NA	NA	NA	NA	2.80E+02	4.96E+07	27	0.616868307	0.13	96	Rioja
ITS-71	R3C	ECO	Control	0_initial	0	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0	9	245.57	0	0	1.61	37	NA	NA	NA	NA	NA	0.00E+00	4.00E+07	24	0.526495289	0.14	96	Rioja
ITS-89	R3C	ECO	18C	0_initial	0	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0	30	249.73	0	0	1.74	44	NA	NA	NA	NA	NA	0.00E+00	8.00E+07	40	0.418142254	0.16	192	Rioja
ITS-107	R3C	ECO	NH4	0_initial	0	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0	334	237.62	0	0	1.71	58	NA	NA	NA	NA	NA	0.00E+00	1.20E+07	21	0.981370592	0.16	192	Rioja
ITS-125	R3C	ECO	SO2	0_initial	0	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	0	5	246.46	0	0	1.83	38	NA	NA	NA	NA	NA	0.00E+00	1.60E+08	21	0.510951962	0.07	192	Rioja
ITS-56	RdG	CONV	Control	0_initial	0	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	0	162	235.91	0	0	0.43	168	NA	NA	NA	NA	NA	1.16E+05	2.28E+08	20	0.8681635	0.2	192	Ribera del Guadiana
