Sample_ID	Origin	Farming	Condition	Region	Stage	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	Ethyl.acetate	Fusel.alcohol.acetates	Fusel.alcohols	EEFA	SCFA	MCFA
RdG-ECO-Control	RdG	ECO	Control	Ribera del Guadiana	3_end	0.34	8	69.78	7.87	0.54	1.42	26	10.4	1.59	0.01	1.89	3.64	NA	NA	NA	NA	NA	NA
RdG-ECO-18C	RdG	ECO	18C	Ribera del Guadiana	3_end	0.24	10	59.98	7.94	1.45	1.59	23	11.31	1.39	0	2.06	3.71	69.388	48.485	729.745	0.000	2.224	3.910
RdG-ECO-NH4	RdG	ECO	NH4	Ribera del Guadiana	3_end	0.41	222	64.37	7.31	1.85	1.67	68	10.71	1.37	0.05	0.71	3.74	21.027	25.327	159.037	0.000	0.000	1.044
RdG-ECO-SO2	RdG	ECO	SO2	Ribera del Guadiana	3_end	0.18	12	71.54	7.6	4.77	1.37	28	10.39	1.61	0.04	2.49	3.47	25.232	40.192	886.431	0.000	0.691	2.372
VLP-CONV-Control	VLP	CONV	Control	Valdepeñas	3_end	0.7	24	0.02	8.92	0	1.75	34	11.59	1.48	0	1.74	3.51	21.027	46.610	971.274	0.000	2.716	0.403
VLP-CONV-18C	VLP	CONV	18C	Valdepeñas	3_end	0.14	18	0.19	8.11	0.01	2.19	21	12.3	1.7	0	1.75	3.54	25.232	58.204	565.175	0.000	3.794	1.949
VLP-CONV-NH4	VLP	CONV	NH4	Valdepeñas	3_end	0.59	28	0.02	9.98	0.01	1.47	72	11.7	1.52	0.04	1.3	3.47	43.806	50.454	841.750	0.000	6.396	1.874
VLP-CONV-SO2	VLP	CONV	SO2	Valdepeñas	3_end	0.08	11	0.08	9.66	0.02	1.66	46	12.64	1.59	0.05	1.78	3.58	7.885	77.513	1496.515	0.000	0.744	3.143
VLP-ECO-Control	VLP	ECO	Control	Valdepeñas	3_end	0.09	30	0.03	9.82	0.01	1.38	40	14.71	1.2	0.06	2.18	3.51	33.793	19.053	336.781	0.000	0.000	1.162
VLP-ECO-18C	VLP	ECO	18C	Valdepeñas	3_end	0.07	14	0.18	9.31	0.02	1.64	27	14.87	1.34	0	2.12	3.59	34.694	60.996	459.867	0.000	0.000	1.461
VLP-ECO-NH4	VLP	ECO	NH4	Valdepeñas	3_end	0.18	26	0.04	9.99	0	0.74	108	14.32	0.96	0.12	1.36	3.47	NA	NA	NA	NA	NA	NA
VLP-ECO-SO2	VLP	ECO	SO2	Valdepeñas	3_end	0.12	16	0.13	9.73	0.04	1.22	50	14.01	1.39	0.03	1.74	3.59	NA	NA	NA	NA	NA	NA
